Country,Year,Latitude,Longitude,Death_Category
Colombia,19,5.1,-75.5,1-50 Deaths
China,19,30.3,102.5,51-100 Deaths
Iran,19,37.2,57.7,101-1000 Deaths
Japan,19,40.462,139.102,1-50 Deaths
Peru,19,-13.5,-72.0,51-100 Deaths
Italy,19,38.17,15.58,>1001 Deaths
China,19,23.7,102.7,1-50 Deaths
Venezuela,19,10.5,-68.0,51-100 Deaths
Turkey,19,40.2,37.8,101-1000 Deaths
Turkey,19,40,30.5,1-50 Deaths
Taiwan,19,23.8,121.7,51-100 Deaths
Italy,18,42.5,11.8,101-1000 Deaths
Turkey,19,39.7,39.4,1-50 Deaths
Afghanistan,19,35.1,67.5,51-100 Deaths
Turkey,18,38.3,38.3,101-1000 Deaths
China,19,31.7,102.3,1-50 Deaths
Japan,19,25.0,125.0,51-100 Deaths
China,19,29.5,91.5,101-1000 Deaths
Greece,18,38.25,26.25,>1001 Deaths
Italy,19,43.26,12.558,1-50 Deaths
Peru,19,-15.0,-75.0,51-100 Deaths
Ethiopia,18,9.6,39.8,101-1000 Deaths
Philippines,19,14.5,121.5,1-50 Deaths
Iran,19,27.9,54.6,51-100 Deaths
Indonesia,19,5.354,126.121,101-1000 Deaths
Chile,19,-38.143,-73.407,>1001 Deaths
China,19,41,108.8,1-50 Deaths
Iran,19,34.4,47.9,51-100 Deaths
China,19,24.15,102.45,101-1000 Deaths
Italy,19,41.765,13.898,1-50 Deaths
India,19,33.9,74.8,51-100 Deaths
Indonesia,19,-1.829,136.943,101-1000 Deaths
Turkey,19,39.77,39.533,>1001 Deaths
China,19,29.4,102.3,1-50 Deaths
Mexico,19,18.3,-100.4,51-100 Deaths
Turkey,18,40.98,34.8,101-1000 Deaths
China,19,36.601,105.317,>1001 Deaths
Montana,19,46.6,-112.0,1-50 Deaths
Indonesia,19,-2.4,126.1,51-100 Deaths
Venezuela,18,10.5,-64.2,101-1000 Deaths
Chile,19,-25.5,-70.7,1-50 Deaths
Indonesia,19,-3.7,119.3,51-100 Deaths
Indonesia,18,-7.0,119,101-1000 Deaths
Indonesia,19,6.1,94.7,1-50 Deaths
Turkey,19,39.5,40.4,51-100 Deaths
Venezuela,18,8.5,-71.7,101-1000 Deaths
Montana,19,46.6,-112.0,1-50 Deaths
Indonesia,19,-3.1,118.9,51-100 Deaths
China,18,30.5,101.5,101-1000 Deaths
Turkey,19,39.2,28.2,1-50 Deaths
Turkey,19,38.6,28.4,51-100 Deaths
Spain,18,36.95,-3.983,101-1000 Deaths
Algeria,19,36.4,7.5,1-50 Deaths
Pakistan,19,36.0,73.4,51-100 Deaths
Turkey,18,39.7,44.4,101-1000 Deaths
China,19,27.4,104.0,1-50 Deaths
Mexico,19,18.48,-103.0,51-100 Deaths
Turkey,19,38.1,38.6,101-1000 Deaths
Washington,19,47.167,-122.617,1-50 Deaths
Iran,19,32.14,49.65,51-100 Deaths
Turkey; Armenia,19,40.7,43.7,101-1000 Deaths
Philippines,19,17,121.63,1-50 Deaths
Colombia,19,4.805,-76.217,51-100 Deaths
Martinique,18,14.4,-61.1,101-1000 Deaths
Indonesia,19,3.5,97.5,1-50 Deaths
Papua New Guinea,19,-6.06,146.23,51-100 Deaths
Jordan,18,31.3,35.6,101-1000 Deaths
China,19,31.452,119.241,1-50 Deaths
Papua New Guinea,19,-5.889,146.02,51-100 Deaths
Indonesia,18,-1.0,97.5,101-1000 Deaths
California,19,35.333,-118.917,1-50 Deaths
Philippines,19,13.525,121.067,51-100 Deaths
China,19,43.5,85,101-1000 Deaths
Greece,19,39.481,20.699,1-50 Deaths
Indonesia,19,-2.045,101.436,51-100 Deaths
Canary Islands,18,28.2,-16.6,101-1000 Deaths
Greece,19,40.739,23.229,1-50 Deaths
Mexico,19,19.055,-104.205,51-100 Deaths
Ecuador,19,1.0,-81.5,101-1000 Deaths
Turkey,19,40.3,34.6,1-50 Deaths
China,19,26.003,102.227,51-100 Deaths
Indonesia,19,-7.3,109.9,101-1000 Deaths
Turkey,19,40.6,35.0,1-50 Deaths
Indonesia,19,-0.891,136.952,51-100 Deaths
Iran,18,38.25,48.28,101-1000 Deaths
Greece,19,38.222,22.934,1-50 Deaths
Pakistan,19,29.976,68.208,51-100 Deaths
Algeria,19,35.1,5.2,101-1000 Deaths
Indonesia,19,-6.7,106.7,1-50 Deaths
Afghanistan,19,34.259,69.364,51-100 Deaths
Greece,18,38.6,23.2,101-1000 Deaths
Turkey,19,38.9,29.3,1-50 Deaths
Iran,20,33.5,48.78,51-100 Deaths
China,19,40.64,122.58,101-1000 Deaths
Balkans Nw,19,40.883,19.59,1-50 Deaths
Solomon Islands,20,-8.466,157.043,51-100 Deaths
Japan,19,38.19,142.028,1-50 Deaths
Kyrgyzstan,20,39.533,73.824,51-100 Deaths
Iran,19,36.8,54.5,1-50 Deaths
Indonesia,20,-7.782,107.297,51-100 Deaths
China,19,39.5,119.0,1-50 Deaths
Turkey,20,38.864,39.986,51-100 Deaths
Philippines,19,7.5,123.5,101-1000 Deaths
Iran,19,32.5,59.1,1-50 Deaths
Myanmar,20,20.687,99.822,51-100 Deaths
Turkey,19,38.2,31.8,1-50 Deaths
Philippines,20,9.999,123.206,51-100 Deaths
Turkey,19,38,28.9,1-50 Deaths
Afghanistan,20,36.023,69.351,51-100 Deaths
Italy,19,41.831,13.961,1-50 Deaths
China,20,27.575,103.983,51-100 Deaths
China,19,31.4,115.0,1-50 Deaths
Guatemala,20,13.988,-91.895,51-100 Deaths
Mexico,19,17.2,-99.6,1-50 Deaths
China,20,34.512,104.262,51-100 Deaths
Chile,19,-29.9,-71.3,1-50 Deaths
Costa Rica,19,9.869,-84.302,1-50 Deaths
Balkans Nw,19,45.3,18.1,1-50 Deaths
Australia,19,-32.967,151.619,1-50 Deaths
Japan,19,42.158,142.361,101-1000 Deaths
China,19,43.5,91.5,1-50 Deaths
Algeria,19,36.788,2.448,1-50 Deaths
Italy,18,38.3,15.9,101-1000 Deaths
China,19,39.893,113.884,1-50 Deaths
Venezuela,19,11.0,-66,101-1000 Deaths
Japan,19,35.362,140.214,1-50 Deaths
Albania,18,40.1,19.4,101-1000 Deaths
China,19,23.72,114.67,1-50 Deaths
New Zealand,19,-37.8,178.2,1-50 Deaths
Italy,19,46.356,13.275,101-1000 Deaths
Turkey,19,38.1,38.3,1-50 Deaths
Georgia,19,42.461,44.009,1-50 Deaths
China,19,40.7,111.6,1-50 Deaths
Italy,18,39.2,16.3,101-1000 Deaths
Colombia,19,4,-74.0,1-50 Deaths
Philippines,18,14.5,121,101-1000 Deaths
Iran,19,35.1,58.7,1-50 Deaths
Syria,20,35.683,35.8,101-1000 Deaths
Papua New Guinea,19,-5.599,151.045,1-50 Deaths
Greece,18,38.4,20.2,101-1000 Deaths
Indonesia,19,-9.5,112.5,1-50 Deaths
Turkey,18,38.53,30.55,101-1000 Deaths
China,19,25.926,102.871,1-50 Deaths
Greece,18,37.1,21.5,101-1000 Deaths
China,19,26.8,103.0,1-50 Deaths
Albania,18,40.5,19.7,101-1000 Deaths
Iran,19,33.8,59.15,1-50 Deaths
Afghanistan,19,36.19,70.896,1-50 Deaths
Turkey,19,40.885,42.219,1-50 Deaths
China,19,22.789,99.611,101-1000 Deaths
Argentina,19,-24.7,-66.3,1-50 Deaths
Iran,18,36.6,54.6,101-1000 Deaths
Turkey,19,38,30.5,1-50 Deaths
Italy,18,43.9,8.1,101-1000 Deaths
California,19,34.061,-118.078,1-50 Deaths
Iran,19,37.3,57.9,1-50 Deaths
Taiwan,19,23.901,121.574,1-50 Deaths
Italy,18,39.3,16.3,101-1000 Deaths
Indonesia,19,-8.2,122.0,1-50 Deaths
Albania,18,39.5,20.5,101-1000 Deaths
Romania,19,45.547,26.316,1-50 Deaths
Afghanistan,19,36.61,67.79,1-50 Deaths
Turkey,18,40.2,29.1,101-1000 Deaths
China,19,29.5,100.5,101-1000 Deaths
India,18,23.583,68.367,1-50 Deaths
Turkey,19,39.0,40.5,101-1000 Deaths
Chile,19,-20.52,-68.92,1-50 Deaths
Peru,19,-10.5,-75,101-1000 Deaths
Chile,18,-33.32,-71.42,1-50 Deaths
Mexico,19,19.26,-96.97,101-1000 Deaths
Chile,18,-31.61,-71.18,1-50 Deaths
Algeria,18,35.07,0.02,101-1000 Deaths
Greece,18,38.8,20.5,1-50 Deaths
China,18,43.7,83.0,>1001 Deaths
Peru,19,-14.2,-72.9,101-1000 Deaths
Indonesia,18,-8.0,115.0,>1001 Deaths
Italy,19,37.7,15.2,101-1000 Deaths
Iran,18,29.7,51.6,>1001 Deaths
Balkans Nw,19,44.9,17.3,1-50 Deaths
China,19,39.7,96.7,101-1000 Deaths
Japan,18,37.5,139.5,>1001 Deaths
Barbados,18,13.1,-59.617,>1001 Deaths
Greece,19,38.3,20.8,101-1000 Deaths
Israel,18,32.0,34.5,>1001 Deaths
Greece,18,37.8,21.2,101-1000 Deaths
Haiti,18,19.75,-72.2,>1001 Deaths
China,18,32.8,116.8,1-50 Deaths
Iran,18,33.6,51.4,>1001 Deaths
Mexico,19,19.5,-104.25,101-1000 Deaths
Iran,18,37.4,48.0,>1001 Deaths
Turkey,19,40.9,36.5,101-1000 Deaths
Japan,18,37.0,138.0,>1001 Deaths
Japan,18,35.0,136.0,>1001 Deaths
Turkey,18,40.2,29.1,>1001 Deaths
China,18,34.6,103.7,1-50 Deaths
Greece,19,39.8,23.8,101-1000 Deaths
Japan,18,35.65,139.8,>1001 Deaths
California,18,34.2,-119.9,1-50 Deaths
Turkey,19,40.6,30.5,101-1000 Deaths
Italy,18,39.4,16.4,>1001 Deaths
Turkey,18,39.9,41.3,>1001 Deaths
Chile,18,-30,-71.4,1-50 Deaths
Argentina,18,-32.8,-68.8,>1001 Deaths
Bulgaria,19,42.2,25.3,101-1000 Deaths
India,18,33.5,75.0,>1001 Deaths
China,18,39.1,121.7,1-50 Deaths
Spain,18,36.9,-2.4,101-1000 Deaths
Japan,18,35.5,137.0,>1001 Deaths
Romania,19,45.8,26.8,101-1000 Deaths
Iran,18,37.1,58.4,>1001 Deaths
California,18,34.37,-117.65,1-50 Deaths
Japan,18,39.5,144.0,>1001 Deaths
Papua New Guinea,19,-5.5,153.9,1-50 Deaths
Balkans Nw,19,44.4,20.4,101-1000 Deaths
Indonesia,18,-3.0,128.5,>1001 Deaths
Peru,19,-16.5,-72.0,1-50 Deaths
Peru,19,-10.5,-77,101-1000 Deaths
Guatemala,19,14.0,-91.0,>1001 Deaths
Iran,19,36.9,57.8,1-50 Deaths
Turkey,19,39.4,33.8,101-1000 Deaths
Turkey,19,39.1,42.4,>1001 Deaths
Albania,19,40.3,19.6,1-50 Deaths
Kazakhstan,19,43.5,77.5,101-1000 Deaths
Taiwan,19,23.6,120.5,>1001 Deaths
Venezuela,19,10.5,-64.2,1-50 Deaths
Iran,19,33.0,50.0,>1001 Deaths
Italy,19,39.0,16,101-1000 Deaths
Costa Rica,19,9.8,-84.0,>1001 Deaths
Greece,19,38,23.0,1-50 Deaths
Turkey,19,40.5,27.2,>1001 Deaths
Off Coast Of Peru,19,-3.4,-80.6,1-50 Deaths
Guatemala,19,14.6,-90.6,>1001 Deaths
Albania,19,42.1,19.6,101-1000 Deaths
Japan,19,35.1,139.5,>1001 Deaths
China,19,25.7,100.4,>1001 Deaths
Ethiopia,19,10.4,39.9,1-50 Deaths
Japan,19,35.6,135.1,>1001 Deaths
Italy,19,43.667,13.267,1-50 Deaths
Iran,19,37.8,57.6,>1001 Deaths
China,19,30,101.8,1-50 Deaths
Iran,19,38.1,44.7,>1001 Deaths
Colombia,19,1.2,-77.2,1-50 Deaths
Nicaragua,19,13.2,-85.7,>1001 Deaths
Algeria,19,37,8.0,1-50 Deaths
Taiwan,19,24.6,120.8,>1001 Deaths
Peru,19,-15,-76.0,1-50 Deaths
Japan,19,35.3,133.9,>1001 Deaths
Indonesia,19,-9.4,110.2,1-50 Deaths
Peru,19,-5.62,-80.413,101-1000 Deaths
Argentina,19,-31.5,-68.5,>1001 Deaths
China,19,42,84.0,1-50 Deaths
Italy,19,38.133,16.017,101-1000 Deaths
Japan,19,34.0,137.1,>1001 Deaths
Ghana,19,5.18,-0.13,1-50 Deaths
Turkey,18,38.5,35.5,101-1000 Deaths
Japan,19,34.7,137.2,>1001 Deaths
Turkey,19,39.1,26.8,1-50 Deaths
China,19,37.5,115.1,101-1000 Deaths
Japan,19,33.0,135.6,>1001 Deaths
Turkey,19,38.4,35.5,1-50 Deaths
Japan,19,36.5,136.0,>1001 Deaths
China,19,23.6,99.4,1-50 Deaths
Ecuador,19,-1.5,-78.2,>1001 Deaths
Turkey,19,39.4,26.7,1-50 Deaths
Papua New Guinea,19,-9.3,147.1,>1001 Deaths
Uganda,19,       ,32.0,1-50 Deaths
Greece,18,35.5,26,101-1000 Deaths
El Salvador,19,13.0,-87.8,>1001 Deaths
Greece,19,38.58,26.23,1-50 Deaths
California,19,37.67,-122.48,101-1000 Deaths
Turkey,19,40.0,27.5,>1001 Deaths
Peru,19,-11.7,-75.1,101-1000 Deaths
Afghanistan,19,36.0,66.0,>1001 Deaths
Turkey,19,37.5,27.0,1-50 Deaths
Iran,19,34.3,47.8,>1001 Deaths
China,19,26.6,101.8,1-50 Deaths
Nicaragua,19,12.4,-86.1,>1001 Deaths
Italy,19,42,14.2,1-50 Deaths
Italy,18,39.6,16.6,101-1000 Deaths
China,19,28.24,104.01,>1001 Deaths
Japan,19,42.15,143.85,1-50 Deaths
Indonesia,19,-4.603,140.091,>1001 Deaths
Greece,19,36.9,22.0,1-50 Deaths
Myanmar (Burma),18,21.9,96,101-1000 Deaths
Romania,19,45.777,26.703,>1001 Deaths
Turkey,18,40.5,29.1,1-50 Deaths
Iran,19,33.386,57.434,>1001 Deaths
California,19,34.201,-116.436,1-50 Deaths
Chile,18,-33.0,-72,101-1000 Deaths
Iran,19,29.913,57.715,>1001 Deaths
Russia,19,43.773,147.321,1-50 Deaths
Bulgaria,19,42.1,25,101-1000 Deaths
Iran,19,30.013,57.794,>1001 Deaths
Japan,19,40.525,143.419,1-50 Deaths
Greece,18,38.7,23.1,101-1000 Deaths
Turkey,19,40.33,42.187,>1001 Deaths
El Salvador,19,13.827,-89.118,>1001 Deaths
Djibouti,19,11.766,41.942,1-50 Deaths
Italy,18,41.0,15.7,101-1000 Deaths
Ecuador,19,0.083,-77.785,>1001 Deaths
Japan,20,34.083,132.526,1-50 Deaths
Egypt,18,29.5,30.5,101-1000 Deaths
Indonesia,19,-8.48,121.896,>1001 Deaths
Philippines,19,13,123.9,1-50 Deaths
Afghanistan,19,37.075,70.089,>1001 Deaths
Tajikistan,19,40.301,69.823,1-50 Deaths
Afghanistan,19,37.106,70.11,>1001 Deaths
Peru,19,-14.1,-73.3,1-50 Deaths
Colombia,19,4.461,-75.724,>1001 Deaths
Peru,19,-6.8,-76.8,1-50 Deaths
Albania,19,40.2,20,101-1000 Deaths
Indonesia,20,3.316,95.854,>1001 Deaths
Philippines,19,13.4,122.8,1-50 Deaths
Indonesia,20,2.085,97.108,>1001 Deaths
Japan,19,34.5,138.7,1-50 Deaths
Colombia,18,1.8,-76.4,101-1000 Deaths
Indonesia,20,-7.961,110.446,>1001 Deaths
Philippines,18,16,121.85,1-50 Deaths
Peru,19,-8.5,-77.5,101-1000 Deaths
Indonesia,20,-0.72,99.867,>1001 Deaths
Greece,19,38.209,23.288,1-50 Deaths
Haiti,20,18.457,-72.533,>1001 Deaths
China,20,33.165,96.548,>1001 Deaths
Venezuela,19,10.5,-62.6,1-50 Deaths
Japan,20,38.297,142.372,>1001 Deaths
Ethiopia,19,11.9,41.21,1-50 Deaths
Nepal,20,28.147,84.708,>1001 Deaths
Balkans Nw,19,44.9,17.2,1-50 Deaths
Peru,19,-9.9,-75.6,1-50 Deaths
Greece,19,38.628,21.798,1-50 Deaths
Italy-Balkans Nw,19,46.3,13.2,1-50 Deaths
Costa Rica,19,9.652,-83.688,1-50 Deaths
Idaho,19,43.974,-113.916,1-50 Deaths
Italy-Balkans Nw,19,46.32,13.13,1-50 Deaths
Greece,19,39.269,23.041,1-50 Deaths
Turkey,18,40.8,29.0,1-50 Deaths
Turkey,19,40.8,33.4,1-50 Deaths
Guatemala,18,15.5,-91.5,1-50 Deaths
Indonesia,18,0.8,127.3,1-50 Deaths
Russia,18,43,47.0,1-50 Deaths
Italy,18,43.8,7.8,1-50 Deaths
Turkey,19,38.6,26.9,1-50 Deaths
Guadeloupe; Antigua; St Kitts,18,16.1,-61.3,1-50 Deaths
Greece,18,38.25,23.5,1-50 Deaths
Greece,19,38.8,20.6,1-50 Deaths
Venezuela,18,7.3,-72.3,1-50 Deaths
Balkans Nw,18,46.1,14.5,1-50 Deaths
Italy,18,40.9,15.2,1-50 Deaths
Algeria,18,37.1,5.7,1-50 Deaths
Japan,18,42.5,146.0,1-50 Deaths
Philippines,18,14,120.5,1-50 Deaths
Myanmar (Burma),19,21,97.0,1-50 Deaths
Philippines,19,6,125.0,1-50 Deaths
Algeria,18,36.1,4.6,1-50 Deaths
Italy,18,44.2,10.5,1-50 Deaths
Turkey,19,40.7,33.6,1-50 Deaths
Philippines,18,12.9,123.9,1-50 Deaths
W. Luzon Island,19,9.3,122.7,1-50 Deaths
Ukraine,19,44.4,34.5,1-50 Deaths
California,18,37.7,-122.1,1-50 Deaths
Italy,18,44.833,7.25,1-50 Deaths
California,18,33.5,-117.0,1-50 Deaths
Indonesia,18,-7.8,110.4,1-50 Deaths
Turkey,19,39.7,42.8,1-50 Deaths
Ghana,18,7,0.4,1-50 Deaths
Philippines,19,14,123.0,1-50 Deaths
Bulgaria,19,43.4,28.5,1-50 Deaths
Balkans,18,44.2,21.2,1-50 Deaths
Philippines,18,17.3,120.6,1-50 Deaths
California,18,36.7,-118.1,1-50 Deaths
Greece,18,38,21.0,1-50 Deaths
Chile,18,-20.2,-70.2,1-50 Deaths
Greece,18,38,23.0,1-50 Deaths
Albania,18,40,20.0,1-50 Deaths
Portugal,18,38.2,-9.0,1-50 Deaths
Italy,19,43.084,12.812,1-50 Deaths
Algeria,18,34.9,5.9,1-50 Deaths
Chile,18,-27.35,-70.35,1-50 Deaths
Albania,18,40.3,19.3,1-50 Deaths
Russia,20,50.038,87.813,1-50 Deaths
Dominican Republic,20,19.777,-70.673,1-50 Deaths
Hawaii,18,19,-155.5,1-50 Deaths
Greece,18,38.2,22.2,1-50 Deaths
Algeria,18,36.5,1.8,1-50 Deaths
Algeria,18,35.58,0.33,1-50 Deaths
Greece,19,37.014,22.176,1-50 Deaths
New Zealand,19,-37.965,176.765,1-50 Deaths
Italy,18,37.5,15.0,1-50 Deaths
Turkey,18,38.6,27.1,1-50 Deaths
Chile,18,-31.62,-71.18,1-50 Deaths
Turkey,19,40.3,28.2,1-50 Deaths
Greece,19,39.368,24.957,1-50 Deaths
Peru,19,-17.4,-71.0,1-50 Deaths
Philippines,19,5.5,123.0,1-50 Deaths
Chile,18,-27,-71.5,1-50 Deaths
Greece,18,37.75,21.25,1-50 Deaths
Greece,19,39.4,22.8,1-50 Deaths
Turkey,19,36.4,28.7,1-50 Deaths
Colombia,19,2,-79.0,1-50 Deaths
Greece,19,39.5,23.0,1-50 Deaths
Peru,19,-15.2,-73.2,1-50 Deaths
Greece,19,39.4,23.1,1-50 Deaths
Chile,19,-36.5,-72.5,1-50 Deaths
Cyprus,19,35,32.5,1-50 Deaths
Italy,18,38.1,14.7,1-50 Deaths
Greece,19,39.3,22.2,1-50 Deaths
Turkey,19,40.5,27.5,1-50 Deaths
Peru,19,-5,-78.0,1-50 Deaths
Algeria,18,36.5,2.9,101-1000 Deaths
Japan,18,39.05,139.95,101-1000 Deaths
Mexico,18,18.9,-103.8,101-1000 Deaths
Japan,18,35.4,139.6,101-1000 Deaths
Colombia,19,5.2,-73.2,1-50 Deaths
Chile,18,-27.4,-70.3,101-1000 Deaths
California; Mexico,19,32.733,-115.5,1-50 Deaths
Iran,18,29.6,52.5,101-1000 Deaths
Albania,19,41.7,20.4,1-50 Deaths
Iran,18,36.3,53.3,101-1000 Deaths
Peru,19,-10.5,-76.5,1-50 Deaths
Balkans Nw,18,42.7,18.2,101-1000 Deaths
Alaska,19,61.017,-147.648,1-50 Deaths
Philippines,18,14.25,121.25,101-1000 Deaths
Albania,19,41.5,20.5,1-50 Deaths
Pakistan,18,31.6,74.3,101-1000 Deaths
Turkmenistan,20,38,58.2,1-50 Deaths
India,18,34.2,74.5,101-1000 Deaths
France,19,43.7,5.4,1-50 Deaths
Iran,18,35.7,52.1,101-1000 Deaths
Greece,19,37.9,21.5,1-50 Deaths
Japan,18,35.0,136,101-1000 Deaths
Portugal,19,38.9,-8.8,1-50 Deaths
Afghanistan,18,36.5,71,101-1000 Deaths
Montana,19,44.712,-111.215,1-50 Deaths
El Salvador,18,13.7,-89.2,101-1000 Deaths
Greece,19,37.7,21.8,1-50 Deaths
Costa Rica,18,10.0,-84,101-1000 Deaths
Greece,19,38.6,22.4,1-50 Deaths
Afghanistan,18,34.4,70.5,101-1000 Deaths
Sw. Sumatra,18,1.5,98,101-1000 Deaths
Albania,19,40.9,19.8,1-50 Deaths
Colombia,18,11.1,-74.5,101-1000 Deaths
Russia,19,52.5,159.5,1-50 Deaths
Venezuela,18,10.7,-71.6,101-1000 Deaths
Colombia,18,10.4,-75.4,101-1000 Deaths
Italy,18,42.9,12.6,1-50 Deaths
Pakistan,18,27.7,68.8,101-1000 Deaths
Greece,19,37.75,27.0,1-50 Deaths
El Salvador,18,13.8,-89.2,101-1000 Deaths
Italy,18,40.7,13.9,1-50 Deaths
Japan,18,34.0,137.9,101-1000 Deaths
Arkansas,18,35.6,-90.4,1-50 Deaths
Japan,18,36.0,137.5,101-1000 Deaths
Indonesia,18,0.009,98,101-1000 Deaths
Greece,18,36.5,28.0,1-50 Deaths
Turkey,18,38.8,30.5,101-1000 Deaths
Italy,18,40.1,15.8,1-50 Deaths
Iran,18,38.0,47.6,101-1000 Deaths
Albania,19,40.5,19.5,1-50 Deaths
Greece,18,39.2,26.4,101-1000 Deaths
Greece,19,36,23.0,1-50 Deaths
Nepal,18,27.7,85.3,101-1000 Deaths
Italy,18,46,12.0,1-50 Deaths
Japan,18,34.9,132,101-1000 Deaths
California,19,35,-119.017,1-50 Deaths
El Salvador,18,13.7,-88.7,101-1000 Deaths
Greece,18,38.8,20.8,1-50 Deaths
El Salvador,18,13.6,-89,101-1000 Deaths
Guatemala,18,14.5,-90.7,101-1000 Deaths
Greece,19,38.5,20.5,1-50 Deaths
Afghanistan,18,35.0,69,101-1000 Deaths
Chile,18,-36.83,-73.03,1-50 Deaths
El Salvador,18,13.5,-88.4,101-1000 Deaths
Algeria,19,36,4.0,1-50 Deaths
Turkey,18,38.1,27.8,101-1000 Deaths
Chile,18,-33.05,-71.63,1-50 Deaths
Iran,18,27.1,54.2,101-1000 Deaths
Greece,18,39.2,26.0,1-50 Deaths
Turkey,18,41.3,43.3,101-1000 Deaths
Turkey,18,38.3,43.2,101-1000 Deaths
Mongolia,19,45.5,99.5,1-50 Deaths
Iran,18,29.4,52.3,101-1000 Deaths
Switzerland,18,46.3,7.9,1-50 Deaths
Japan,18,38.9,139.8,101-1000 Deaths
Iran,18,38.5,45,101-1000 Deaths
Japan,18,40.0,141,101-1000 Deaths
Turkey,18,41.6,43.5,101-1000 Deaths
Iran,19,35.2,58.2,101-1000 Deaths
Taiwan,19,23.5,120.3,101-1000 Deaths
Jamaica,19,18.2,-76.8,101-1000 Deaths
Indonesia,19,-2.0,101,101-1000 Deaths
Pakistan,19,30.0,68,101-1000 Deaths
Costa Rica,19,10.0,-84,101-1000 Deaths
Iran,19,31.23,57.03,101-1000 Deaths
El Salvador,19,13.82,-89.31,101-1000 Deaths
Georgia,19,42.0,44.1,101-1000 Deaths
Chile,19,-28.553,-70.755,101-1000 Deaths
Iran,19,29.2,56.9,101-1000 Deaths
Japan,19,35.75,134.75,101-1000 Deaths
Iran,19,34.6,58.1,101-1000 Deaths
Indonesia,19,-0.3,100.4,101-1000 Deaths
Israel; Jordan,19,32.0,35.5,101-1000 Deaths
Nicaragua,19,12.1,-86.2,101-1000 Deaths
Mexico,18,17,-96.3,1-50 Deaths
China,19,30.0,100,101-1000 Deaths
Japan,18,37.7,138.3,1-50 Deaths
Tajikistan,19,38.4,68.5,101-1000 Deaths
Taiwan,18,25.2,121.3,1-50 Deaths
Japan,19,35.0,139,101-1000 Deaths
Peru,18,-14.1,-75.4,1-50 Deaths
Turkey,19,39.3,40.6,101-1000 Deaths
France,18,45.9,6.8,1-50 Deaths
Colombia,19,1.1,-77.6,101-1000 Deaths
Peru-Chile,18,-17.6,-70.8,1-50 Deaths
El Salvador,19,13.2,-88.7,101-1000 Deaths
Japan,18,38.9,139.15,1-50 Deaths
Iran,19,33.5,58.6,101-1000 Deaths
Venezuela,18,10.3,-66.6,1-50 Deaths
Taiwan,19,23.3,120.3,101-1000 Deaths
Venezuela,18,10.5,-64.2,1-50 Deaths
Turkey,19,40.8,30.5,101-1000 Deaths
New Zealand,18,-41.67,174.0,1-50 Deaths
China,19,39.3,73.3,101-1000 Deaths
Turkey,18,39.9,41.3,1-50 Deaths
Turkey,19,40.0,40,101-1000 Deaths
S. Mexico,18,17,-100.0,1-50 Deaths
Turkmenistan,19,39.3,55.4,101-1000 Deaths
Indonesia,18,-8,115.5,1-50 Deaths
Iran,19,33.4,58.7,101-1000 Deaths
Ecuador,18,-0.3,-78.5,1-50 Deaths
Iran,19,35.4,55.1,101-1000 Deaths
Mexico,18,18.6,-97.5,1-50 Deaths
Lebanon,19,35.5,35.5,101-1000 Deaths
Taiwan,18,25.5,121.7,1-50 Deaths
Iran,19,27.2,54.4,101-1000 Deaths
India,18,24.5,92.5,1-50 Deaths
Iran,19,28.3,53.3,101-1000 Deaths
Venezuela,18,7.5,-72.1,1-50 Deaths
Iran,19,36.5,53,101-1000 Deaths
Mexico,18,15.4,-96.3,1-50 Deaths
Iran,19,34.4,47.9,101-1000 Deaths
Venezuela,18,9.5,-69.5,1-50 Deaths
Iran,19,28.0,54.5,101-1000 Deaths
Philippines,18,7,125.4,1-50 Deaths
Libya,19,32.6,21,101-1000 Deaths
Chile,18,-32.3,-71.16,1-50 Deaths
Taiwan,19,23.2,120.6,101-1000 Deaths
Turkey,18,40.6,33.6,1-50 Deaths
Chile,19,-32.4,-71.2,101-1000 Deaths
Mexico,18,17.5,-98.3,1-50 Deaths
Uganda,19,0.6,30.2,101-1000 Deaths
Italy,18,40.9,14.4,1-50 Deaths
Italy,19,37.9,13.1,101-1000 Deaths
Mexico,18,31,-109.0,1-50 Deaths
Philippines,19,16.5,122.2,101-1000 Deaths
China,18,38.5,119.0,1-50 Deaths
Iran,19,34.0,58.2,101-1000 Deaths
Japan,18,32.8,130.7,1-50 Deaths
Indonesia,19,-8.17,114.888,101-1000 Deaths
Iran,18,37.1,58.3,1-50 Deaths
Iran,19,27.61,56.39,101-1000 Deaths
Japan,18,35.7,139.9,1-50 Deaths
Iran,19,31.98,50.68,101-1000 Deaths
China,18,38,76.0,1-50 Deaths
Iran,19,30.95,56.47,101-1000 Deaths
Japan,19,40.6,142.3,1-50 Deaths
Iran,19,33.897,59.472,101-1000 Deaths
Mexico,19,17.6,-99.7,1-50 Deaths
Iran,19,33.918,59.741,101-1000 Deaths
Iran,19,26.6,56.2,1-50 Deaths
Nepal-India,19,29.598,81.092,101-1000 Deaths
Israel,19,32.2,35.3,1-50 Deaths
Indonesia,19,-4.576,139.232,101-1000 Deaths
Taiwan,19,23.5,120.5,1-50 Deaths
Pakistan,19,35.693,73.594,101-1000 Deaths
Japan,19,34,132.0,1-50 Deaths
Afghanistan,19,36.148,69.011,101-1000 Deaths
