Country,Year,Latitude,Longitude,Death_Category
Greece,18,38.3,22.8,51-100 Deaths
Philippines,18,8.2,126.1,101-1000 Deaths
Indonesia,18,-6.76,111.04,51-100 Deaths
Iran,18,37.8,48.3,101-1000 Deaths
Greece,18,38.3,22.0,51-100 Deaths
China,19,24.5,118.5,101-1000 Deaths
Japan,19,32.386,131.945,1-50 Deaths
China,18,23.5,116.5,51-100 Deaths
Turkey,19,39.71,39.605,101-1000 Deaths
Peru,20,-16.265,-73.641,51-100 Deaths
Turkey,19,40.3,43.1,101-1000 Deaths
Philippines,19,15.679,121.172,>1001 Deaths
Russia,19,43.522,45.362,1-50 Deaths
China,19,21.7,99.5,51-100 Deaths
China,19,26.0,100.1,101-1000 Deaths
Balkans Nw,20,43.76,20.673,1-50 Deaths
China,18,34.5,105.7,51-100 Deaths
Japan,19,42.851,139.197,101-1000 Deaths
Russia,19,52.629,142.827,>1001 Deaths
Japan,19,35.789,137.488,1-50 Deaths
Greece,19,39.5,23.0,51-100 Deaths
China,19,31.2,100.9,101-1000 Deaths
Mexico,19,16.558,-98.358,1-50 Deaths
Greece,19,35.8,25.0,51-100 Deaths
Turkey,19,40.9,42.7,101-1000 Deaths
China,18,24.9,103.0,1-50 Deaths
China,19,22.7,99.9,51-100 Deaths
Peru,20,-13.386,-76.603,101-1000 Deaths
China,19,29.3,104.8,1-50 Deaths
China,19,28.7,103.6,51-100 Deaths
Iran,18,30.6,57,101-1000 Deaths
Taiwan,19,22.5,122.3,1-50 Deaths
China,19,23.1,100.3,51-100 Deaths
Iran,19,37.8,55.9,101-1000 Deaths
Peru,19,-16.66,-72.662,1-50 Deaths
China,19,43.0,122.0,51-100 Deaths
Russia,19,43.0,47.1,101-1000 Deaths
Iran,20,28.995,58.311,>1001 Deaths
Afghanistan,19,36.2,69.7,1-50 Deaths
Azores,19,38.815,-27.78,51-100 Deaths
Venezuela,19,10.6,-67.3,101-1000 Deaths
Taiwan,19,23.445,120.506,1-50 Deaths
Ethiopia,19,15.6,39.6,51-100 Deaths
China,18,37.1,104.2,101-1000 Deaths
Turkey,19,39.2,41.6,>1001 Deaths
China,18,25,104.0,1-50 Deaths
China,18,26.1,99.9,51-100 Deaths
Turkey,19,36.878,35.307,101-1000 Deaths
China,18,36.5,102.2,1-50 Deaths
China,19,28.4,102.3,51-100 Deaths
China,18,41.2,80.3,101-1000 Deaths
Chile,19,-53.5,-71.5,1-50 Deaths
Greece,19,38.0,23.0,51-100 Deaths
Iran,20,35.626,49.047,101-1000 Deaths
China,20,31.002,103.322,>1001 Deaths
Philippines,19,12.54,125.993,1-50 Deaths
China,19,30.1,101.8,51-100 Deaths
China,18,33.6,104.6,101-1000 Deaths
Peru,19,-6.062,-77.136,1-50 Deaths
Turkey,19,40.2,37.9,51-100 Deaths
India,19,17.7,73.9,101-1000 Deaths
Romania,19,45.841,26.668,1-50 Deaths
China,19,26.0,103.0,51-100 Deaths
El Salvador,20,13.049,-88.66,101-1000 Deaths
Japan,19,43.3,143.691,1-50 Deaths
Iran,18,26.81,55.91,101-1000 Deaths
Philippines,19,8.337,126.729,1-50 Deaths
